CASEID,AGE,SEX,GENHEALTH,ACT_CAREHH,ACT_CARENHH,ACT_EDUC,ACT_FOOD,ACT_HHACT,ACT_PURCH,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_VOL,ACT_WORK,ACT_SLEEPING
20100000000000,66,2,1,0,120,0,180,60,0,0,300,0,0,0,720
20100000000000,31,1,2,80,0,0,45,65,65,0,60,0,0,435,535
20100000000000,71,2,4,0,0,0,25,40,0,0,603,0,0,0,718
20100000000000,43,1,3,0,0,0,115,0,20,0,180,0,0,480,480
20100000000000,19,2,3,0,0,0,35,20,0,0,480,140,0,0,570
20100000000000,27,1,2,20,0,60,30,60,0,0,250,0,0,345,480
20100000000000,40,2,1,145,0,0,45,60,0,0,45,60,0,580,405
20100000000000,35,1,5,0,0,0,0,0,0,0,920,35,0,0,210
20100000000000,85,2,3,0,0,0,210,0,0,0,480,0,120,0,630
20100000000000,22,1,2,0,0,0,10,0,0,0,210,0,0,525,585
20100000000000,85,2,NA,0,0,0,30,0,0,0,870,0,0,0,420
20100000000000,41,2,2,0,0,0,10,600,0,0,90,0,0,0,740
20100000000000,24,2,2,0,0,45,50,200,0,0,60,0,0,460,525
20100000000000,68,2,4,0,0,0,30,265,0,0,495,0,0,0,465
20100000000000,79,1,3,0,0,0,40,180,0,0,515,0,0,0,600
20100000000000,66,2,1,120,0,0,195,45,0,0,300,0,0,0,780
20100000000000,42,1,2,0,0,0,130,60,0,0,180,0,0,520,450
20100000000000,21,2,2,137,0,0,50,190,0,0,458,0,0,0,600
20100000000000,40,1,NA,90,0,0,120,120,0,0,0,0,0,485,500
20100000000000,28,2,2,0,5,0,15,0,10,0,95,0,0,900,330
20100000000000,15,2,1,0,0,0,60,0,80,0,90,0,0,0,890
20100000000000,26,1,1,0,2,0,47,45,79,0,214,0,0,525,388
20100000000000,55,2,5,0,0,0,30,15,0,125,470,0,0,0,660
20100000000000,29,2,4,0,0,0,45,60,60,0,440,90,0,0,625
20100000000000,35,2,1,93,0,0,40,2,40,0,325,0,0,130,450
20100000000000,54,2,3,0,0,0,46,1,0,0,716,0,0,0,674
20100000000000,32,1,2,150,0,0,75,32,0,0,70,0,0,573,440
20100000000000,29,1,1,0,0,0,0,270,150,0,120,0,0,0,780
